id,labels
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,1
